0,"Withdraw","Bills","2016-07-08",313.23908,1
1,"Withdraw","Entertainment","2018-05-25",18.51482196,1
2,"Withdraw","Bills","2017-10-09",395.4218477,1
3,"Withdraw","Food and Groceries","2016-08-22",143.0974834,1
4,"Withdraw","Entertainment","2018-01-04",6.037304346,1
5,"Withdraw","Entertainment","2017-07-20",133.7324979,1
6,"Withdraw","Bills","2018-08-13",459.2300527,1
7,"Withdraw","Entertainment","2016-11-21",7.566905874,1
8,"Withdraw","Entertainment","2016-11-03",1.338950821,1
9,"Withdraw","Bills","2018-10-11",347.9072331,1
10,"Withdraw","Bills","2017-07-02",382.4028746,1
11,"Withdraw","Bills","2017-07-27",199.0197418,1
12,"Withdraw","Gasoline","2016-11-14",15.45591319,1
13,"Withdraw","Bills","2018-06-13",378.1410484,1
14,"Withdraw","Bills","2018-05-12",366.0883022,1
15,"Withdraw","Bills","2017-12-01",336.296992,1
16,"Withdraw","Personal Care","2017-05-03",64.59403284,1
17,"Withdraw","Entertainment","2016-12-20",94.25245357,1
18,"Withdraw","Food and Groceries","2018-03-17",101.2364135,1
19,"Withdraw","Bills","2016-10-28",136.7292738,1
20,"Withdraw","Entertainment","2017-12-14",34.99862941,1
21,"Withdraw","Food and Groceries","2016-06-23",139.9190908,1
22,"Withdraw","Entertainment","2016-10-07",69.06533782,1
23,"Withdraw","Bills","2018-09-14",451.4843912,1
24,"Withdraw","Gasoline","2016-09-11",54.97227558,1
25,"Withdraw","Food and Groceries","2018-05-19",104.2547816,1
26,"Withdraw","Bills","2018-03-30",432.6735953,1
27,"Withdraw","Personal Care","2018-02-06",162.2946491,1
28,"Withdraw","Entertainment","2016-10-12",38.7292925,1
29,"Withdraw","Food and Groceries","2017-07-25",161.5580021,1
30,"Withdraw","Personal Care","2017-11-10",88.46350386,1
31,"Withdraw","Food and Groceries","2016-08-13",14.93408922,1
32,"Withdraw","Food and Groceries","2017-12-30",110.1448332,1
33,"Withdraw","Bills","2017-08-10",316.165461,1
34,"Withdraw","Bills","2018-03-19",390.5093329,1
35,"Withdraw","Entertainment","2017-04-09",41.37837975,1
36,"Withdraw","Food and Groceries","2016-10-31",193.1024368,1
37,"Withdraw","Bills","2016-10-24",412.176208,1
38,"Withdraw","Entertainment","2018-03-20",71.28375228,1
39,"Withdraw","Food and Groceries","2018-03-16",18.82154544,1
40,"Withdraw","Food and Groceries","2017-10-22",186.1958672,1
41,"Withdraw","Bills","2016-12-24",471.2217609,1
42,"Withdraw","Personal Care","2017-07-16",120.1056043,1
43,"Withdraw","Entertainment","2017-11-04",4.698938456,1
44,"Withdraw","Food and Groceries","2018-04-09",184.796134,1
45,"Withdraw","Entertainment","2017-01-13",134.8582437,1
46,"Withdraw","Food and Groceries","2017-12-29",74.11259829,1
47,"Withdraw","Vacation","2017-01-12",939.7624835,1
48,"Withdraw","Bills","2016-06-15",128.6901892,1
49,"Withdraw","Food and Groceries","2017-05-25",186.9097929,1
50,"Withdraw","Bills","2017-05-30",317.9782443,1
51,"Withdraw","Gasoline","2016-09-15",30.80868969,1
